2015-05-14T06:48:06.518+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:49:06.519+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:50:06.519+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:51:06.520+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:52:06.521+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:53:06.520+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:54:06.521+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:55:06.521+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:56:06.522+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:57:06.522+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:58:06.525+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T06:59:06.524+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:00:06.526+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:01:06.527+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:02:06.526+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:03:06.527+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:04:06.527+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:05:06.528+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:06:06.530+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:07:06.529+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:08:06.529+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:09:06.529+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:10:06.530+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:11:06.530+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:12:06.531+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:13:06.532+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:14:06.533+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:15:06.534+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:16:06.534+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:17:06.535+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:18:06.535+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:19:06.536+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:20:06.536+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:21:06.537+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:22:06.538+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:23:06.537+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:24:06.538+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:25:06.538+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:26:06.539+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:27:06.539+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:28:06.540+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:29:06.540+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:30:06.540+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:31:06.541+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:32:06.541+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:33:06.542+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:34:06.543+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:35:06.543+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:36:06.543+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:37:06.543+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:38:06.544+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:39:06.544+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:40:06.545+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:41:06.545+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:42:06.547+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:43:06.547+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:44:06.546+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:45:06.548+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:46:06.547+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:47:06.548+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:48:06.548+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:49:06.549+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:50:06.549+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:51:06.550+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:52:06.550+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:53:06.550+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:54:06.551+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:55:06.550+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:56:06.554+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:57:06.551+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:58:06.554+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T07:59:06.554+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:00:06.553+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:01:06.555+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:02:06.554+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:03:06.555+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:04:06.555+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:05:06.556+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:06:06.556+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:07:06.556+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:08:06.558+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:09:06.558+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:10:06.559+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:11:06.559+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:12:06.560+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:13:06.560+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:14:06.560+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:15:06.561+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:16:06.561+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:17:06.562+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:18:06.562+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:19:06.563+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:20:06.563+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:21:06.564+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:22:06.564+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:23:06.565+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:24:06.568+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:25:06.566+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:26:06.567+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:27:06.567+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:28:06.567+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:29:06.568+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:30:06.568+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:31:06.569+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:32:06.569+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:33:06.569+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:34:06.570+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:35:06.574+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:36:06.571+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:37:06.571+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:38:06.720+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:39:06.739+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:40:06.575+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:41:06.576+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:42:06.576+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:43:06.576+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:44:06.578+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:45:06.783+0200 I COMMAND  [DataFileSync] flushing diag log
2015-05-14T08:46:06.728+0200 I COMMAND  [DataFileSync] flushing diag log
